,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predict
0,37,admin.,married,university.degree,no,yes,no,telephone,nov,wed,119,1,6,1,success,-0.1,93.2,-42.0,4.286,5195.8,1
1,48,management,married,university.degree,no,yes,no,cellular,nov,mon,112,1,4,1,success,-0.1,93.2,-42.0,4.191,5195.8,1
2,36,self-employed,single,university.degree,no,yes,no,cellular,nov,mon,200,2,4,1,success,-0.1,93.2,-42.0,4.191,5195.8,1
3,31,entrepreneur,divorced,basic.4y,no,no,no,cellular,nov,tue,290,1,5,1,success,-0.1,93.2,-42.0,4.153,5195.8,1
4,52,admin.,single,basic.9y,no,yes,no,cellular,nov,tue,296,1,6,1,success,-0.1,93.2,-42.0,4.153,5195.8,1
5,49,management,divorced,university.degree,no,no,no,cellular,nov,wed,364,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
6,31,unemployed,single,professional.course,no,yes,no,cellular,nov,wed,192,1,0,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
7,35,self-employed,single,university.degree,no,no,yes,cellular,nov,wed,197,1,3,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
8,58,management,divorced,university.degree,no,no,no,cellular,nov,wed,418,1,5,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
9,32,services,married,high.school,no,yes,no,cellular,nov,wed,74,1,5,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
10,31,blue-collar,single,high.school,no,yes,no,cellular,nov,wed,522,1,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
11,54,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,159,2,4,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
12,35,management,married,university.degree,no,yes,yes,telephone,nov,wed,377,3,0,2,success,-0.1,93.2,-42.0,4.12,5195.8,1
13,39,blue-collar,married,basic.6y,no,yes,yes,telephone,nov,wed,214,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
14,34,management,single,high.school,no,yes,yes,cellular,nov,wed,201,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
15,31,admin.,married,university.degree,no,yes,no,cellular,nov,thu,298,2,5,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
16,42,admin.,married,university.degree,no,yes,no,cellular,nov,thu,75,2,4,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
17,56,entrepreneur,married,university.degree,unknown,no,no,cellular,nov,thu,392,2,3,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
18,35,admin.,married,university.degree,no,yes,no,cellular,nov,thu,333,2,3,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
19,35,admin.,single,university.degree,no,yes,no,cellular,nov,thu,20,8,6,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
20,36,management,married,university.degree,no,no,no,cellular,nov,thu,192,2,6,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
21,49,management,married,university.degree,no,yes,no,cellular,nov,fri,846,1,3,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
22,52,admin.,married,high.school,no,yes,yes,cellular,nov,fri,57,5,6,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
23,46,unemployed,divorced,basic.4y,no,no,no,cellular,nov,fri,366,3,3,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
24,41,technician,married,professional.course,no,yes,no,cellular,nov,fri,82,5,5,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
25,50,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,72,3,1,2,success,-0.1,93.2,-42.0,4.021,5195.8,1
26,38,technician,married,professional.course,no,yes,no,cellular,mar,fri,363,2,10,1,success,-1.8,92.843,-50.0,1.726,5099.1,1
27,38,technician,married,professional.course,no,yes,no,cellular,mar,fri,207,2,7,1,success,-1.8,92.843,-50.0,1.726,5099.1,1
28,30,student,single,high.school,no,no,no,cellular,mar,fri,268,5,10,2,failure,-1.8,92.843,-50.0,1.64,5099.1,1
29,30,admin.,married,university.degree,no,unknown,unknown,cellular,mar,mon,291,3,8,1,success,-1.8,92.843,-50.0,1.629,5099.1,1
30,77,retired,divorced,unknown,no,yes,no,cellular,mar,tue,178,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,1
31,29,admin.,single,university.degree,no,yes,no,cellular,apr,wed,513,1,5,2,success,-1.8,93.075,-47.1,1.498,5099.1,1
32,41,unemployed,married,basic.9y,no,no,yes,cellular,apr,mon,322,1,9,1,success,-1.8,93.075,-47.1,1.466,5099.1,1
33,28,student,single,university.degree,no,yes,no,cellular,apr,tue,93,3,11,2,failure,-1.8,93.075,-47.1,1.453,5099.1,1
34,37,blue-collar,married,basic.4y,no,yes,no,cellular,apr,wed,281,1,5,1,success,-1.8,93.075,-47.1,1.445,5099.1,1
35,39,technician,single,professional.course,no,no,no,cellular,apr,wed,540,3,9,1,success,-1.8,93.075,-47.1,1.415,5099.1,1
36,70,retired,married,unknown,no,yes,no,cellular,apr,thu,346,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1
37,70,retired,married,unknown,no,yes,yes,cellular,apr,thu,96,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1
38,29,admin.,single,high.school,no,yes,yes,cellular,apr,thu,123,3,9,1,success,-1.8,93.075,-47.1,1.41,5099.1,1
39,55,retired,married,high.school,no,no,no,cellular,apr,fri,401,1,8,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
40,45,services,single,unknown,no,no,no,cellular,apr,fri,345,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
41,71,retired,single,unknown,no,yes,no,cellular,apr,fri,188,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
42,35,admin.,single,high.school,no,no,no,cellular,apr,fri,146,2,5,2,success,-1.8,93.075,-47.1,1.405,5099.1,1
43,38,technician,divorced,high.school,no,no,no,telephone,apr,fri,320,3,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
44,73,retired,married,basic.4y,no,yes,no,cellular,apr,mon,158,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
45,56,retired,divorced,university.degree,no,yes,no,cellular,apr,mon,199,5,9,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
46,43,admin.,single,university.degree,no,yes,no,cellular,apr,mon,670,4,11,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
47,32,technician,single,professional.course,no,no,no,cellular,apr,mon,33,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
48,53,admin.,married,university.degree,no,yes,no,cellular,apr,tue,158,2,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
49,85,retired,married,basic.4y,unknown,yes,no,cellular,apr,tue,129,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
50,29,admin.,single,high.school,no,no,yes,cellular,apr,wed,319,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
51,60,retired,divorced,professional.course,no,yes,no,cellular,apr,thu,968,1,5,2,failure,-1.8,93.075,-47.1,1.365,5099.1,1
52,31,technician,single,university.degree,no,yes,no,cellular,apr,thu,701,1,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
53,53,admin.,single,university.degree,no,no,no,cellular,apr,thu,494,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
54,35,services,married,high.school,no,yes,no,cellular,apr,thu,412,1,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
55,60,admin.,married,high.school,no,unknown,unknown,cellular,apr,thu,208,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
56,51,services,married,basic.6y,no,no,no,cellular,apr,thu,407,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
57,60,admin.,married,high.school,no,no,no,cellular,apr,thu,447,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
58,48,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,62,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
59,53,management,divorced,university.degree,no,yes,no,cellular,apr,thu,297,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
60,31,admin.,single,high.school,no,no,no,cellular,apr,thu,252,1,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
61,45,admin.,single,high.school,no,yes,no,cellular,apr,thu,354,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
62,30,management,married,university.degree,no,yes,no,cellular,apr,thu,271,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
63,48,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,294,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
64,36,technician,single,professional.course,no,yes,no,cellular,apr,thu,218,1,2,2,success,-1.8,93.075,-47.1,1.365,5099.1,1
65,71,self-employed,married,university.degree,no,yes,no,cellular,apr,thu,78,2,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
66,35,technician,married,professional.course,no,no,no,cellular,apr,thu,337,2,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
67,51,technician,married,professional.course,no,yes,yes,cellular,apr,thu,297,1,2,2,success,-1.8,93.075,-47.1,1.365,5099.1,1
68,51,technician,married,professional.course,no,yes,no,cellular,apr,thu,687,1,0,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
69,36,technician,married,professional.course,no,yes,yes,cellular,apr,thu,266,2,2,2,success,-1.8,93.075,-47.1,1.365,5099.1,1
70,39,technician,married,professional.course,no,no,no,cellular,apr,thu,225,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
71,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,196,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
72,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,457,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
73,28,admin.,single,university.degree,no,yes,yes,cellular,apr,thu,68,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
74,36,admin.,married,university.degree,no,yes,no,cellular,apr,thu,483,1,0,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
75,29,technician,single,professional.course,no,no,no,cellular,apr,thu,96,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
76,54,management,married,university.degree,no,no,no,telephone,apr,thu,107,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
77,40,technician,married,professional.course,no,yes,no,cellular,apr,thu,580,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
78,28,admin.,married,university.degree,no,no,no,cellular,apr,thu,258,1,2,2,success,-1.8,93.075,-47.1,1.365,5099.1,1
79,58,retired,divorced,university.degree,no,no,no,cellular,apr,thu,211,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
80,47,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,149,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
81,34,technician,married,university.degree,no,yes,no,cellular,apr,thu,193,2,8,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
82,60,unemployed,married,high.school,no,yes,no,cellular,apr,thu,1260,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
83,64,admin.,married,university.degree,no,no,yes,telephone,apr,thu,766,3,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
84,30,admin.,single,university.degree,no,yes,no,cellular,apr,thu,502,1,0,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
85,57,retired,married,university.degree,no,yes,no,cellular,apr,thu,374,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1
86,46,technician,married,high.school,no,no,no,cellular,may,mon,60,5,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
87,35,services,married,basic.6y,no,no,no,cellular,may,mon,392,2,3,2,success,-1.8,92.893,-46.2,1.354,5099.1,1
88,41,technician,married,unknown,no,yes,yes,cellular,may,mon,963,1,3,2,success,-1.8,92.893,-46.2,1.354,5099.1,1
89,30,unemployed,married,high.school,no,no,no,cellular,may,mon,417,1,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
90,39,admin.,married,high.school,no,yes,no,cellular,may,mon,301,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
91,65,management,married,university.degree,no,no,no,telephone,may,mon,1076,3,6,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
92,50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
93,35,services,married,basic.6y,no,no,no,cellular,may,mon,592,1,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
94,66,management,married,university.degree,no,no,no,cellular,may,mon,98,4,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
95,30,unemployed,married,high.school,no,yes,no,cellular,may,mon,214,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
96,35,admin.,married,professional.course,no,yes,no,cellular,may,mon,76,2,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
97,39,technician,married,professional.course,no,yes,no,cellular,may,mon,1046,3,11,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
98,42,admin.,married,professional.course,no,yes,no,cellular,may,mon,458,3,9,2,failure,-1.8,92.893,-46.2,1.354,5099.1,1
99,32,self-employed,married,basic.6y,no,yes,no,cellular,may,mon,1121,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
100,50,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,483,4,3,2,success,-1.8,92.893,-46.2,1.354,5099.1,1
101,42,services,married,high.school,no,yes,no,cellular,may,mon,520,2,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
102,43,admin.,married,high.school,no,yes,no,cellular,may,mon,76,4,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
103,51,unemployed,married,high.school,no,no,no,cellular,may,mon,14,5,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
104,44,self-employed,single,professional.course,no,no,no,cellular,may,mon,230,6,12,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
105,50,self-employed,married,basic.9y,no,yes,yes,cellular,may,mon,673,6,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
106,60,admin.,married,university.degree,no,yes,no,cellular,may,mon,226,2,11,1,success,-1.8,92.893,-46.2,1.354,5099.1,1
107,34,blue-collar,married,high.school,no,yes,no,cellular,may,tue,863,1,3,2,success,-1.8,92.893,-46.2,1.344,5099.1,1
108,40,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,316,1,11,1,success,-1.8,92.893,-46.2,1.344,5099.1,1
109,49,admin.,married,high.school,no,no,no,cellular,may,tue,104,1,6,1,success,-1.8,92.893,-46.2,1.344,5099.1,1
110,34,admin.,single,high.school,no,yes,no,cellular,may,wed,653,1,11,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
111,36,technician,married,professional.course,no,yes,no,cellular,may,wed,731,1,10,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
112,48,blue-collar,married,basic.4y,no,no,no,cellular,may,wed,109,1,12,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
113,34,admin.,single,high.school,no,yes,no,cellular,may,wed,78,1,12,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
114,38,blue-collar,married,high.school,unknown,yes,no,cellular,may,wed,839,2,7,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
115,54,management,divorced,university.degree,no,yes,no,cellular,may,wed,127,2,12,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
116,38,blue-collar,unknown,high.school,no,no,no,cellular,may,wed,311,1,6,1,success,-1.8,92.893,-46.2,1.334,5099.1,1
117,29,admin.,married,high.school,no,no,no,cellular,may,thu,329,1,6,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
118,28,technician,single,high.school,no,yes,yes,cellular,may,thu,609,1,11,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
119,39,management,married,professional.course,no,yes,no,cellular,may,thu,156,1,6,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
120,37,services,married,high.school,no,yes,no,cellular,may,thu,87,2,12,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
121,32,admin.,married,university.degree,no,no,no,cellular,may,thu,1030,1,6,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
122,40,admin.,married,basic.9y,no,yes,yes,cellular,may,thu,639,2,10,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
123,32,admin.,single,professional.course,no,yes,no,cellular,may,thu,603,2,7,2,failure,-1.8,92.893,-46.2,1.327,5099.1,1
124,24,services,single,high.school,unknown,yes,no,cellular,may,thu,263,2,10,1,success,-1.8,92.893,-46.2,1.327,5099.1,1
125,35,admin.,single,high.school,no,unknown,unknown,cellular,may,fri,579,2,10,1,success,-1.8,92.893,-46.2,1.313,5099.1,1
126,35,admin.,single,university.degree,no,yes,no,cellular,may,fri,662,1,12,1,success,-1.8,92.893,-46.2,1.313,5099.1,1
127,47,blue-collar,married,high.school,no,yes,yes,telephone,may,fri,72,6,6,1,success,-1.8,92.893,-46.2,1.313,5099.1,1
128,35,blue-collar,married,unknown,no,yes,no,cellular,may,mon,40,8,10,1,success,-1.8,92.893,-46.2,1.299,5099.1,1
129,50,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,474,1,9,1,success,-1.8,92.893,-46.2,1.299,5099.1,1
130,27,technician,single,basic.9y,no,no,yes,cellular,may,mon,701,1,12,1,success,-1.8,92.893,-46.2,1.299,5099.1,1
